Brand,Product,Price,battery WH,motor watts,WHEEL SIZE,Fat Tire,SPEED GEAR,Foldable,external,Range,disc breaks,Absorbing fork,Charge time,Weight,url
Rei,C Line Electric Explore Mid Folding Bike,4050,312,250,16,0,6,1,0,45,0,0,6,38,https://www.rei.com/product/191465/brompton-c-line-electric-explore-mid-folding-bike
Rei,Topstone Neo SL 2 Electric Bike,3625,250,250,27.5,0,20,0,0,47,0,0,4,32,https://www.rei.com/product/186752/cannondale-topstone-neo-sl-2-electric-bike
Rei,Topstone Neo Carbon 3 Speed Lefty Electric Bike,6350,500,250,27.5,0,11,0,0,76,1,1,3.5,39,https://www.rei.com/product/182682/cannondale-topstone-neo-carbon-3-speed-lefty-electric-bike
Himiway,HIMIWAY ZEBRA,1999,960,750,26,1,7,0,0,80,1,1,7,79,https://himiwaybike.com/products/premium-all-terrain-electric-bike
Himiway,HIMIWAY BIG DOG,2099,960,750,20,1,7,0,0,80,1,1,7,79,https://himiwaybike.com/products/electric-cargo-bike
Himiway,HIMIWAY COBRA,2399,960,750,26,1,7,0,0,80,1,1,7,88,https://himiwaybike.com/products/himiway-electric-mountain-bike
Himiway,HIMIWAY COBRA PRO,3999,960,1000,26,1,10,0,0,80,1,1,7,88,https://himiwaybike.com/products/softail-electric-mountain-bike
Himiway,HIMIWAY CRUISER,1699,840,750,26,1,7,0,1,60,1,1,6.5,72,https://himiwaybike.com/products/himiway-electric-fat-bike
Himiway,CRUISER STEP-THRU,1699,840,750,26,1,7,0,1,60,1,1,6.5,72,https://himiwaybike.com/products/all-terrain-step-thru-electric-bike
Himiway,HIMIWAY ESCAPE,1799,840,750,20,1,7,0,0,50,1,1,6.5,92,https://himiwaybike.com/products/moped-style-electric-bike
Velotric,Velotric Discover 1 Urban Commuter Ebike,1299,692,500,26,0,7,0,0,60,1,0,5.8,55,https://www.velotricbike.com/collections/electric-bikes/products/velotric-discover-1
Velotric,Velotric Nomad Fat Tire Ebike,1499,692,500,26,0,7,0,0,60,1,0,5.8,55,https://www.velotricbike.com/collections/electric-bikes/products/velotric-nomad-1-urban-commuter-ebike
Schwinn,Healy Ridge 24in Electric Bike,949.99,280,250,24,0,1,0,1,20,1,1,4,59.08,https://www.schwinnbikes.com/products/healy-ridge-e-bike-24?variant=42173744644265
Schwinn,Healy Ridge Electric Bike,949.99,280,250,26,0,1,0,1,25,1,1,4,61.95,https://www.schwinnbikes.com/products/healy-ridge-e-bike-26?variant=42173812506793
Schwinn,Ridgewood 27.5in. Electric Bike,1299.99,280,250,27.5,0,7,0,1,45,1,1,4,39.6,https://www.schwinnbikes.com/products/ridgewood-e-bike?variant=42175612977321
Schwinn,Ridgewood 29in Electric Bike,1299.99,280,250,29,0,7,0,1,45,1,1,4,39.6,https://www.schwinnbikes.com/products/ridgewood-e-bike-29
Schwinn,Mendocino Step-Thru Electric Bike,1299.99,313,250,26,0,6,0,1,45,1,0,4,66.14,https://www.schwinnbikes.com/products/mendocino-ebike?variant=41490022727849
Schwinn,Mendocino 2 Step-Thru Electric Bike,1399.99,313,250,26,0,6,0,1,45,1,0,5,66.14,https://www.schwinnbikes.com/products/mendocino-2?variant=42309960401065
Schwinn,Marshall Step-Thru Electric Bike,1399.99,288,250,27.5,0,7,0,0,35,1,0,4,52.8,https://www.schwinnbikes.com/products/650b-u-sch-marshall-step-thru-ebike?variant=41489928192169&
Schwinn,Marshall Electric Bike,1399.99,288,250,27.5,0,7,0,0,35,1,0,4,52.8,https://www.schwinnbikes.com/products/650b-m-sch-marshall-ebike?variant=41489927241897
Schwinn,Coston DX Step-Thru Electric Bike,1899.99,360,250,27.5,0,7,0,0,45,1,0,4,61.6,https://www.schwinnbikes.com/products/650b-u-sch-coston-dx-step-thru-ebike?variant=41489930813609
Schwinn,Coston CE Step-Thru Electric Bike,1599.99,288,250,27.5,0,7,0,0,35,1,0,4,55.8,https://www.schwinnbikes.com/products/coston-ce-step-thru-ebike?variant=41489934024873
Schwinn,Coston CE Electric Bike,1599.99,288,250,27.5,0,7,0,0,35,1,0,4,55.8,https://www.schwinnbikes.com/products/650b-m-sch-coston-ce-ebike?variant=41489932517545
Schwinn,Coston DX Electric Bike,1899.99,360,250,27.5,0,7,0,0,45,1,0,4,61.6,https://www.schwinnbikes.com/products/650b-m-sch-coston-dx-ebike?variant=41489928814761
